UID	Symbol	Pearson rho	Pearson p-value	Cell State
CAPG	CAPG	0.6186438608975349	5.290004469976637e-264	1
OSCAR	OSCAR	0.6168014637043406	5.263335117094036e-262	1
HLA-DPA1	HLA-DPA1	0.616675136203132	7.207057337106376e-262	1
TSPO	TSPO	0.6130093380529826	6.190374525254027e-258	1
HLA-DRA	HLA-DRA	0.6117552538184217	1.3356126664687686e-256	1
S100A11	S100A11	0.6106579116180383	1.9409144914013086e-255	1
CTSD	CTSD	0.6048608243971659	2.255736653784249e-249	1
PPARG	PPARG	0.6036435896698882	4.083169322485066e-248	1
CD74	CD74	0.6031572880225855	1.2940474971207906e-247	1
TFRC	TFRC	0.6026723260301157	4.080021066948924e-247	1
GPNMB	GPNMB	0.600675647634251	4.517947147708476e-245	1
FCGR3A	FCGR3A	0.6004947764636094	6.908931567116216e-245	1
CYBA	CYBA	0.5988571410285196	3.1934953950024365e-243	1
HLA-DMA	HLA-DMA	0.5974540275927609	8.37640448288171e-242	1
VSIG4	VSIG4	0.5959069824946213	3.014875333802002e-240	1
PLIN2	PLIN2	0.5957053215268628	4.8028704424805e-240	1
HLA-DPB1	HLA-DPB1	0.5950264916368696	2.297190616005849e-239	1
GSTO1	GSTO1	0.5943963686605376	9.787518473793894e-239	1
GLIPR2	GLIPR2	0.5933300957880376	1.1289589284646526e-237	1
GPD1	GPD1	0.5932053382727102	1.5020228212186906e-237	1
MS4A7	MS4A7	0.592447831865817	8.480245402791973e-237	1
TYROBP	TYROBP	0.5919409477890167	2.693477868459041e-236	1
TGM2	TGM2	0.5896825024403697	4.526533055427952e-234	1
HCAR2	HCAR2	0.5862020314923246	1.1249804772402975e-230	1
HLA-DMB	HLA-DMB	0.5854903495396598	5.499981886665772e-230	1
FTH1	FTH1	0.5842077449111975	9.509758750083017e-229	1
FCER1G	FCER1G	0.5826022748217975	3.3097733279760643e-227	1
TNNI2	TNNI2	0.5812909248818761	5.924251256727491e-226	1
HLA-C	HLA-C	0.5804948497539559	3.391626133967777e-225	1
LAIR1	LAIR1	0.5801998738014968	6.466376366175742e-225	1
FTL	FTL	0.5770852942712854	5.654137779566049e-222	1
TRPV2	TRPV2	0.5733363594232948	1.784214556769101e-218	1
ADAMTSL4	ADAMTSL4	0.5719535656764179	3.393895573719519e-217	1
PLAUR	PLAUR	0.5705279713208072	6.969198143874482e-216	1
DOK2	DOK2	0.5705125751784708	7.199830473779846e-216	1
HN1	HN1	0.5700469350806792	1.925757919033027e-215	1
CTSB	CTSB	0.5684206776376417	5.909207420600036e-214	1
TREM2	TREM2	0.5647163139061256	1.3418171656946737e-210	1
FCGRT	FCGRT	0.5640305159827647	5.5509508276809804e-210	1
RBP4	RBP4	0.5608957485167977	3.5060954631923604e-207	1
PYCARD	PYCARD	0.5605104909691137	7.707785079655387e-207	1
HLA-B	HLA-B	0.5590294221166235	1.5773453675097766e-205	1
SLC11A1	SLC11A1	0.5583479902943606	6.293444456235549e-205	1
PHLDA3	PHLDA3	0.5582980406281992	6.96441464829013e-205	1
C1orf162	C1orf162	0.5571236211052613	7.501896605378789e-204	1
LAPTM5	LAPTM5	0.5560187776035747	6.95888133147996e-203	1
STXBP2	STXBP2	0.5522911096851103	1.201376925261395e-199	1
FPR2	FPR2	0.5511248972229159	1.213497023887644e-198	1
LRPAP1	LRPAP1	0.5509170164468719	1.8308454432835197e-198	1
SH3BGRL3	SH3BGRL3	0.549717014853424	1.9554441516271718e-197	1
LYZ	LYZ	0.5467015864430397	7.203862230432091e-195	1
SEPT11	SEPT11	0.5456095961882335	6.03220592151529e-194	1
SLC15A3	SLC15A3	0.5455997647418772	6.14850978960653e-194	1
ANXA2	ANXA2	0.5455201501864125	7.17664986788762e-194	1
GLUL	GLUL	0.5454418135300783	8.35560969536086e-194	1
AKR1B1	AKR1B1	0.5450751614559852	1.7018463570245789e-193	1
AIF1	AIF1	0.5432903771103593	5.362038028335009e-192	1
SERPING1	SERPING1	0.5427756194925792	1.4448308447238936e-191	1
NCF2	NCF2	0.5414151197524866	1.9678670817722832e-190	1
VIM	VIM	0.5403641976458097	1.467365780273697e-189	1
MS4A4A	MS4A4A	0.5401779287193292	2.0934778062850262e-189	1
CTSZ	CTSZ	0.5384798151930744	5.288740723932805e-188	1
MME	MME	0.5363996333985586	2.6945852940047647e-186	1
TUBA1B	TUBA1B	0.5359851185924237	5.878210782498547e-186	1
CTSA	CTSA	0.5355677559220784	1.2878009229213647e-185	1
SNX10	SNX10	0.5339646953645145	2.5920723320758e-184	1
ATP6V1F	ATP6V1F	0.5320754760461242	8.733583081298887e-183	1
RNF149	RNF149	0.5319277429436567	1.1487755690697082e-182	1
CD37	CD37	0.531445314826176	2.809071205123106e-182	1
FCGR1A	FCGR1A	0.5305006264250052	1.6112560972985562e-181	1
ARPC1B	ARPC1B	0.5291086813555064	2.091934556664646e-180	1
CCDC88A	CCDC88A	0.528443832219578	7.0878278166415275e-180	1
LGALS3BP	LGALS3BP	0.528204663888518	1.098677941254585e-179	1
CFD	CFD	0.5261825873287559	4.4074032273590636e-178	1
PILRA	PILRA	0.524920459904588	4.359496059911029e-177	1
LGALS9	LGALS9	0.5238469765503411	3.0382951258639248e-176	1
EML4	EML4	0.5234939497959051	5.744628950769984e-176	1
FAM89A	FAM89A	0.5233811055810991	7.040733004811276e-176	1
PSAP	PSAP	0.5230530604386734	1.271406794479727e-175	1
AXL	AXL	0.5226457353532221	2.645994464670103e-175	1
VASP	VASP	0.5181413560066622	8.199356725047941e-172	1
COLEC12	COLEC12	0.5177145154145583	1.745384745276783e-171	1
ANXA5	ANXA5	0.5174972786780837	2.562719108730528e-171	1
CD53	CD53	0.5149407364991404	2.305319765413425e-169	1
PFN1	PFN1	0.5147458386274683	3.243497251103991e-169	1
ITM2B	ITM2B	0.5145130164392134	4.875544450719768e-169	1
TMSB4X	TMSB4X	0.5141888941593092	8.594433628800105e-169	1
NMB	NMB	0.5110983678787688	1.855116672244097e-166	1
TNFAIP2	TNFAIP2	0.5089114699105058	8.045949033658016e-165	1
LITAF	LITAF	0.508811167164914	9.558338173402178e-165	1
CST3	CST3	0.5087750166752137	1.017037707676817e-164	1
SNX2	SNX2	0.507158636820428	1.6189601777275278e-163	1
CD163	CD163	0.5070191269797011	2.0543245083832274e-163	1
ARRDC4	ARRDC4	0.5058102445717393	1.610375194179795e-162	1
UBASH3B	UBASH3B	0.5049922686580768	6.456202055532998e-162	1
TBXAS1	TBXAS1	0.5048963773987593	7.595653090046794e-162	1
LGALS1	LGALS1	0.5039553741476762	3.733079692441547e-161	1
PTPN6	PTPN6	0.5030637351789369	1.679956209319284e-160	1
RNASET2	RNASET2	0.5030255256400936	1.7916272341800385e-160	1
AMIGO2	AMIGO2	0.5026630212190679	3.297898925914698e-160	1
LST1	LST1	0.5026248126420538	3.5168114065441e-160	1
CSTA	CSTA	0.5021303816352802	8.072643698579661e-160	1
PGD	PGD	0.5021272359908121	8.115397041220954e-160	1
CFL1	CFL1	0.4998402663301212	3.721884702883591e-158	1
LGALS3	LGALS3	0.49916868148366916	1.1383187812977201e-157	1
HCST	HCST	0.4986371767208083	2.7525186879711783e-157	1
TCF7L2	TCF7L2	0.4981994793020037	5.688641174638224e-157	1
GAA	GAA	0.49807175151114236	7.029521921259678e-157	1
FABP3	FABP3	0.49682821825925694	5.492584661648444e-156	1
NOP10	NOP10	0.496794029439053	5.811283362533011e-156	1
LCP1	LCP1	0.4960835558663139	1.8735956891996186e-155	1
GCA	GCA	0.49444028041400234	2.7796278465375072e-154	1
CSTB	CSTB	0.4942393622956495	3.8615401813415346e-154	1
GRINA	GRINA	0.49389095941748395	6.825150939184308e-154	1
LRP1	LRP1	0.49352782350340246	1.2348637884143884e-153	1
LY6E	LY6E	0.4928399992037949	3.7889379990578933e-153	1
GLRX	GLRX	0.4927710145808036	4.2392504035366645e-153	1
CPE	CPE	0.4913850798857615	4.025019252822122e-152	1
ARHGAP18	ARHGAP18	0.4903821953611165	2.038376429557904e-151	1
SVIL	SVIL	0.4898867061946995	4.534138753616233e-151	1
PSMA7	PSMA7	0.48957087271777766	7.542487426959795e-151	1
B2M	B2M	0.4881182165455167	7.782138661936808e-150	1
CD300LF	CD300LF	0.48754531112907246	1.947590238007999e-149	1
HLA-A	HLA-A	0.48717904764061026	3.497841659025568e-149	1
MYL6	MYL6	0.4858461169551704	2.928642833458881e-148	1
HEXB	HEXB	0.4855410244483852	4.7569169424415676e-148	1
C20orf27	C20orf27	0.48469231107647087	1.829025730479311e-147	1
AKR1C3	AKR1C3	0.4839705453481131	5.732330533296714e-147	1
GCHFR	GCHFR	0.4836347785797075	9.743566260830826e-147	1
CLIC1	CLIC1	0.4836285266734509	9.840230180959174e-147	1
SLC7A7	SLC7A7	0.4821817630649346	9.610545253854943e-146	1
VMO1	VMO1	0.4811863172095682	4.581232794174442e-145	1
SERPINA1	SERPINA1	0.4804303020143455	1.494812075513127e-144	1
SMCO4	SMCO4	0.4793493317960497	8.06702119772899e-144	1
PSME2	PSME2	0.47802131873409415	6.34695277769225e-143	1
FRMD4A	FRMD4A	0.47715612460422935	2.4215019972887887e-142	1
ARHGDIB	ARHGDIB	0.4770882568232029	2.6892417165539103e-142	1
MNDA	MNDA	0.4767900500168017	4.2621629916741494e-142	1
LPL	LPL	0.4766702136629806	5.127971701527757e-142	1
FUOM	FUOM	0.4762979081813207	9.104678221180675e-142	1
S100A4	S100A4	0.4736878783812162	4.994195170338882e-140	1
BSG	BSG	0.4734650559009534	7.018525174779543e-140	1
GPX1	GPX1	0.47326611642498256	9.508106525107117e-140	1
ATP6V0B	ATP6V0B	0.4728879256020947	1.6923944834154917e-139	1
CTSS	CTSS	0.47098416481475386	3.049630235784742e-138	1
EFHD2	EFHD2	0.4707381406403956	4.425359747014708e-138	1
DAB2	DAB2	0.47005266184575895	1.2467740701272818e-137	1
ALDOA	ALDOA	0.4697393660732792	2.000064286453479e-137	1
SLC31A2	SLC31A2	0.4686112056297878	1.0924216503272757e-136	1
CES1	CES1	0.4669447278995871	1.3259287783865648e-135	1
NCKAP1L	NCKAP1L	0.46655542530118904	2.3709178886559e-135	1
ARPC3	ARPC3	0.4664115481183825	2.9384180696673223e-135	1
CORO1C	CORO1C	0.466377464967485	3.0916089651300884e-135	1
HPGD	HPGD	0.4658197570722829	7.095448263991186e-135	1
RSPO3	RSPO3	0.46573811827295897	8.011943113895442e-135	1
CCL18	CCL18	0.46493650775376316	2.6363765518750047e-134	1
KCNAB2	KCNAB2	0.46476277647009967	3.411396881735309e-134	1
CKLF	CKLF	0.4641403798585554	8.57777459861815e-134	1
BAX	BAX	0.46391356495675157	1.199771047221612e-133	1
HSP90AA1	HSP90AA1	0.46355595209887485	2.035324116547026e-133	1
BCAP31	BCAP31	0.46060396019203015	1.5594592049665504e-131	1
FERMT3	FERMT3	0.46036406693186466	2.2145835685488534e-131	1
TFPT	TFPT	0.4598874746241278	4.4415957036511466e-131	1
UBB	UBB	0.45877514622135596	2.244368748706625e-130	1
UPP1	UPP1	0.45735690682814345	1.7553535386707453e-129	1
MTPN	MTPN	0.4560681965699944	1.1282264563335838e-128	1
HBEGF	HBEGF	0.4557537257746259	1.7743747025184186e-128	1
TBC1D10C	TBC1D10C	0.4554532570361264	2.7336681974181347e-128	1
IQSEC3	IQSEC3	0.4553864131817113	3.009380142389752e-128	1
ITGB2	ITGB2	0.4538607875671666	2.6817184121952036e-127	1
TMSB10	TMSB10	0.45368451672012017	3.4503046085950096e-127	1
FFAR4	FFAR4	0.4529089563801967	1.0438266620016312e-126	1
PPT1	PPT1	0.45233057311248986	2.3788082252896502e-126	1
NCEH1	NCEH1	0.45204717223088714	3.5595188753572646e-126	1
ACER3	ACER3	0.451893512055273	4.428171903621191e-126	1
MCOLN1	MCOLN1	0.45112285572158745	1.3216318594672268e-125	1
IGF1	IGF1	0.45092082215121404	1.7595574122191572e-125	1
SLC16A3	SLC16A3	0.4507117270095254	2.3656604638812854e-125	1
GPRIN3	GPRIN3	0.45065460227155396	2.5648167435370345e-125	1
CXCL3	CXCL3	0.4498521603627804	7.970035824778159e-125	1
MMD	MMD	0.4497337446004652	9.419160879375324e-125	1
RAC2	RAC2	0.44828467099070235	7.2363636622099855e-124	1
LPXN	LPXN	0.44806801068032465	9.807314482886005e-124	1
TNFSF12	TNFSF12	0.44667143791314023	6.923242360102096e-123	1
TIMP2	TIMP2	0.4466648325579065	6.987382035962013e-123	1
HSP90B1	HSP90B1	0.4465206915758294	8.544524536604057e-123	1
SIRPA	SIRPA	0.44651157998939817	8.653855164181682e-123	1
HCK	HCK	0.44601203014982505	1.736540005167686e-122	1
ZNF706	ZNF706	0.4456981152557081	2.6884395850042856e-122	1
ARL6IP1	ARL6IP1	0.44540867457511063	4.0210573822045513e-122	1
SAMHD1	SAMHD1	0.44496554818816053	7.441969693289712e-122	1
AP2S1	AP2S1	0.4444401207267448	1.5423252648271664e-121	1
PLEK	PLEK	0.4438253250610085	3.6123361328068526e-121	1
TCEB2	TCEB2	0.44210355969833826	3.8802814395231604e-120	1
OAZ1	OAZ1	0.4414578415012957	9.419299492884174e-120	1
ABHD5	ABHD5	0.440153954144739	5.613305525148946e-119	1
ARHGAP30	ARHGAP30	0.4393600133499607	1.657991226998531e-118	1
S100A10	S100A10	0.4387039005261829	4.048985243977852e-118	1
PTPRC	PTPRC	0.43864575109178733	4.381990674673723e-118	1
CPVL	CPVL	0.4380412550599379	9.956464736744074e-118	1
PRDX1	PRDX1	0.43770632089359574	1.5677751628055325e-117	1
UBE2L6	UBE2L6	0.43753311885269014	1.9822679065760525e-117	1
GRB2	GRB2	0.4368825136404339	4.778852208991698e-117	1
DECR1	DECR1	0.4345701850102841	1.0735664490953832e-115	1
TUBB	TUBB	0.4341357085731806	1.9213232161404147e-115	1
CD63	CD63	0.43413359475808083	1.9267674988887244e-115	1
SDCBP	SDCBP	0.4334575364978904	4.757870141556334e-115	1
LSAMP	LSAMP	0.4323832999257299	1.9924236119131948e-114	1
ATP1B3	ATP1B3	0.4321715522863377	2.6406795412218877e-114	1
YBX1	YBX1	0.4320034682151221	3.301882966824537e-114	1
PTGER3	PTGER3	0.43169530561268343	4.9721198384876205e-114	1
YWHAH	YWHAH	0.4310350522178559	1.193501890964598e-113	1
CECR1	CECR1	0.42784710530750103	7.963468855986695e-112	1
CD81	CD81	0.4275461994165028	1.1810886917774664e-111	1
C9orf16	C9orf16	0.4266651868338448	3.736602659652844e-111	1
PPIC	PPIC	0.4259879350250386	9.035994042553481e-111	1
BLOC1S2	BLOC1S2	0.42533523156143466	2.1122481948197743e-110	1
OASL	OASL	0.4253310690588791	2.123704556360368e-110	1
SLC19A3	SLC19A3	0.42492877333816936	3.580782687700634e-110	1
ACTB	ACTB	0.42433979999782856	7.683992600987851e-110	1
BID	BID	0.42261075687152827	7.166066352067014e-109	1
TYMP	TYMP	0.42226138610209163	1.123386716325445e-108	1
TUBB6	TUBB6	0.42175926373501527	2.1416078292802042e-108	1
SRGN	SRGN	0.4206372539965433	9.019051379775526e-108	1
PKM	PKM	0.4206136642054087	9.295303875786699e-108	1
GNAI2	GNAI2	0.4205554889891424	1.0013179476194804e-107	1
VAT1	VAT1	0.42050297344393256	1.0708576975500628e-107	1
MOB3B	MOB3B	0.41923638067614855	5.388271086335218e-107	1
OPN3	OPN3	0.4182493460259924	1.8888623487159432e-106	1
RMDN3	RMDN3	0.41810889865434553	2.25717877371319e-106	1
SELPLG	SELPLG	0.41783975047157185	3.174852973448996e-106	1
THEMIS2	THEMIS2	0.4177671326327623	3.480761646058788e-106	1
AGRP	AGRP	0.4176927188102027	3.824747723601155e-106	1
NCF4	NCF4	0.41714167155128634	7.680047107166452e-106	1
CALR	CALR	0.4167716053680846	1.2256627959450859e-105	1
MYL12A	MYL12A	0.4158056796802027	4.140450306509599e-105	1
RGS19	RGS19	0.4158007466097825	4.166228869354624e-105	1
DOCK8	DOCK8	0.4138963496103452	4.5392054990347923e-104	1
C4orf48	C4orf48	0.41368539695370654	5.908306789522877e-104	1
GYPC	GYPC	0.4136748995498871	5.98629054576122e-104	1
ISG15	ISG15	0.41176613392727146	6.445700943547917e-103	1
FPR1	FPR1	0.41080686144347794	2.1156349839153252e-102	1
APOL4	APOL4	0.4101588846053945	4.71143432057596e-102	1
C5AR1	C5AR1	0.40943018459726405	1.156818106339679e-101	1
RNH1	RNH1	0.4091961638833544	1.542918805184617e-101	1
ADAM17	ADAM17	0.4079300362513423	7.300022148853997e-101	1
CLEC2B	CLEC2B	0.4075224990755702	1.2021656847053713e-100	1
APIP	APIP	0.4065825054748565	3.7887833140893226e-100	1
ARPC2	ARPC2	0.40546447118167134	1.4769870171331293e-99	1
EGR2	EGR2	0.40542876161801517	1.5424524924157026e-99	1
SLA	SLA	0.40464832848644905	3.974465469155755e-99	1
CAP1	CAP1	0.40176062061410134	1.2904820052623644e-97	1
ATP6AP1	ATP6AP1	0.4016741699587827	1.4314331406043293e-97	1
UGP2	UGP2	0.40065304630301224	4.858585262631589e-97	1
FGR	FGR	0.4003549349207933	6.935935758353897e-97	1
GPCPD1	GPCPD1	0.4000027619985562	1.0556781853366508e-96	1
HCAR3	HCAR3	0.39987515200306173	1.229077669607088e-96	1
PTPMT1	PTPMT1	0.3996394320041093	1.6274436079454007e-96	1
HLA-DOA	HLA-DOA	0.3994476259048012	2.044772851389091e-96	1
LAMP1	LAMP1	0.39842242794020377	6.909270713394486e-96	1
FLVCR2	FLVCR2	0.39812724761639273	9.802514886702982e-96	1
THBD	THBD	0.39723372727160555	2.8198050659752977e-95	1
NUCB1	NUCB1	0.39592362068123604	1.3197565382259012e-94	1
KIF16B	KIF16B	0.3954821076473583	2.2166552474216594e-94	1
SH3BGRL	SH3BGRL	0.39486983945359866	4.543939314098749e-94	1
PLAU	PLAU	0.3942143093779389	9.782803013749932e-94	1
HCLS1	HCLS1	0.39323966869646915	3.0494350951939184e-93	1
HAVCR2	HAVCR2	0.39258952009065684	6.496241531838712e-93	1
ALDH2	ALDH2	0.39236481455474975	8.433490376300795e-93	1
CLEC12A	CLEC12A	0.3916313730354327	1.9740316263135075e-92	1
GPSM3	GPSM3	0.39073225664302286	5.5828053928599774e-92	1
DNASE2	DNASE2	0.3906615893606499	6.057298759143526e-92	1
PLXDC2	PLXDC2	0.3900139195831857	1.2780879617075775e-91	1
B3GNT5	B3GNT5	0.38998891930040086	1.3154172472544456e-91	1
GSN	GSN	0.38972279553066724	1.7868428724104605e-91	1
H2AFY	H2AFY	0.38945807233789453	2.4226308421751675e-91	1
AKR1A1	AKR1A1	0.38923859375635933	3.1174620651059984e-91	1
EIF4EBP1	EIF4EBP1	0.3887779764646923	5.288902781802413e-91	1
PLBD1	PLBD1	0.3876385029545216	1.9484295008479235e-90	1
TMBIM1	TMBIM1	0.38727568620057645	2.9480466013786213e-90	1
PTGER4	PTGER4	0.38601533486249134	1.2374662220490579e-89	1
IFIT3	IFIT3	0.3860076577629593	1.2483024284678085e-89	1
AKR1C2	AKR1C2	0.38577895883233015	1.6183452054143414e-89	1
LEPROTL1	LEPROTL1	0.38523654724516326	2.9931439394388273e-89	1
LAMTOR1	LAMTOR1	0.3849848807892697	3.979827162387517e-89	1
SSB	SSB	0.3847981735369289	4.915777800996336e-89	1
ANXA11	ANXA11	0.38470973736527014	5.4327472736388894e-89	1
ITIH5	ITIH5	0.3843844442349471	7.845885154370007e-89	1
PRSS21	PRSS21	0.38371789883267354	1.6639967855406743e-88	1
LYAR	LYAR	0.3836629705797974	1.770212833178227e-88	1
IFI27L2	IFI27L2	0.38325603909628003	2.798668344644058e-88	1
PTAFR	PTAFR	0.3830965742166765	3.348326286948233e-88	1
IL1RN	IL1RN	0.38246910675425716	6.77387272230129e-88	1
ATP10A	ATP10A	0.38245922427049034	6.849379794152712e-88	1
HEXA	HEXA	0.38222443125676425	8.912117331842152e-88	1
ACOT4	ACOT4	0.3821416546661308	9.778350230260434e-88	1
LAP3	LAP3	0.3813203962967226	2.450835099609068e-87	1
GPR137B	GPR137B	0.380384856340595	6.958189147541379e-87	1
ENPP4	ENPP4	0.37981239041389636	1.3154401112214149e-86	1
MMP19	MMP19	0.37956538894330527	1.7307459773751938e-86	1
RAP1B	RAP1B	0.37946315521129376	1.9387611422446486e-86	1
PLA2G15	PLA2G15	0.3789847494307707	3.2957034810923205e-86	1
STAC	STAC	0.3788494482435918	3.828650496022833e-86	1
FKBP15	FKBP15	0.3784297721834233	6.0921181569721126e-86	1
SPOCD1	SPOCD1	0.37833731450449837	6.747910739380722e-86	1
DOCK11	DOCK11	0.37829474758106885	7.073045058142816e-86	1
MGST3	MGST3	0.37803229860093224	9.452465995964003e-86	1
CHCHD10	CHCHD10	0.3775831752695583	1.551644198353873e-85	1
RUNX1	RUNX1	0.37698330720802936	3.004385634429232e-85	1
EVL	EVL	0.3767998414774818	3.676214120011823e-85	1
APOBR	APOBR	0.3766058294555269	4.5501171431465744e-85	1
RNF130	RNF130	0.3753589749354851	1.7855286016300723e-84	1
PGK1	PGK1	0.3753172905542885	1.8688379754262089e-84	1
APOL6	APOL6	0.3752145430204784	2.0911059531470125e-84	1
CCT5	CCT5	0.37516622717346937	2.204548379204445e-84	1
LAMP2	LAMP2	0.37467868442787	3.755078774767901e-84	1
TNFAIP8L2	TNFAIP8L2	0.3744294080685523	4.928638036080094e-84	1
HK3	HK3	0.37325766558450774	1.7640565063928246e-83	1
AKIRIN2	AKIRIN2	0.3721522736424907	5.845792790500598e-83	1
CASP1	CASP1	0.371472640165521	1.2182967186817754e-82	1
KCNAB1	KCNAB1	0.3714626793030577	1.23146305768747e-82	1
ETHE1	ETHE1	0.3713312110132382	1.4191249565141627e-82	1
HNMT	HNMT	0.37088789810303746	2.2883529362257934e-82	1
RENBP	RENBP	0.37012660198870617	5.189257848214946e-82	1
TWF2	TWF2	0.3693724647912959	1.1651964220395743e-81	1
TALDO1	TALDO1	0.36904667861335483	1.651456825080214e-81	1
TRIM14	TRIM14	0.3689256568846241	1.8797036605715853e-81	1
RNF13	RNF13	0.36845489414829036	3.108555182070212e-81	1
BST2	BST2	0.3679046645002764	5.590413325110516e-81	1
ESYT1	ESYT1	0.3678822653110316	5.725447607424527e-81	1
LACTB	LACTB	0.3675430424122568	8.21653257145629e-81	1
SCIMP	SCIMP	0.3674767525146763	8.817050598943995e-81	1
EDEM2	EDEM2	0.36729435688409207	1.0704764758743723e-80	1
MDH1	MDH1	0.3670743242705235	1.3525204302967522e-80	1
SERF2	SERF2	0.36676994840216126	1.8685825287174754e-80	1
DDAH2	DDAH2	0.3663287186824886	2.9834834696741237e-80	1
DOCK2	DOCK2	0.36614747526596547	3.614964966812413e-80	1
RASGEF1B	RASGEF1B	0.3653830543430154	8.113007705893048e-80	1
CTSW	CTSW	0.36530622844955346	8.798590113891624e-80	1
BTK	BTK	0.36529257720587593	8.926317533314505e-80	1
EMP3	EMP3	0.36526497934680485	9.190207637297729e-80	1
LAT2	LAT2	0.36502396388575165	1.1851479002006224e-79	1
MKNK1	MKNK1	0.36484736168980847	1.427715463864306e-79	1
C8B	C8B	0.3645759776204068	1.9002631800864498e-79	1
GPI	GPI	0.363575114932431	5.441535282444212e-79	1
PTPRO	PTPRO	0.3631073365682981	8.88606331185361e-79	1
CRIP1	CRIP1	0.36273436245912966	1.3130350303016551e-78	1
VAMP8	VAMP8	0.36269039496603983	1.3748349347999401e-78	1
C10orf128	C10orf128	0.3622437073628529	2.1928094733561684e-78	1
JAKMIP2	JAKMIP2	0.3621157270245181	2.5062890397362913e-78	1
ACVRL1	ACVRL1	0.3610435771439288	7.658333478202669e-78	1
HOXB6	HOXB6	0.3610041854836038	7.978512003954802e-78	1
CARD16	CARD16	0.360595688560635	1.2196468049143466e-77	1
GBP2	GBP2	0.35959178135656733	3.4518148114167895e-77	1
ERP44	ERP44	0.35916965020537844	5.340034498156968e-77	1
TGFB1	TGFB1	0.3589973410881798	6.379870599917676e-77	1
DNAJA1	DNAJA1	0.35864190368674875	9.205513989420389e-77	1
TXNIP	TXNIP	0.3579019714563188	1.9719058668427568e-76	1
ARPC5	ARPC5	0.3576223950885852	2.6282168477170396e-76	1
COMT	COMT	0.35717796068441887	4.147191899645327e-76	1
M6PR	M6PR	0.3570500555006989	4.728301978860884e-76	1
MACC1	MACC1	0.3568921439609729	5.558795916741871e-76	1
ARL11	ARL11	0.3565365128785906	8.000207163512959e-76	1
RHBDD2	RHBDD2	0.35646616254836316	8.597186688498553e-76	1
PAG1	PAG1	0.3557829114539059	1.7278177806120318e-75	1
TMC6	TMC6	0.3557777598568001	1.7369236899984525e-75	1
ABRACL	ABRACL	0.35553315665186747	2.22905930036247e-75	1
KMO	KMO	0.3552904346913215	2.854530946711056e-75	1
CD4	CD4	0.35507817757763377	3.5431455529613097e-75	1
ARL4A	ARL4A	0.35507253199196304	3.5635621198682046e-75	1
ACTR3	ACTR3	0.35503171840427583	3.714688179130839e-75	1
IFI30	IFI30	0.354778520266526	4.805811894761888e-75	1
RAB31	RAB31	0.35468107532090837	5.306199301682061e-75	1
PLSCR1	PLSCR1	0.35393997410964156	1.1257585753496808e-74	1
NTRK3	NTRK3	0.3538427587331625	1.2423124421505858e-74	1
SOWAHD	SOWAHD	0.35376079340116723	1.3498732855798785e-74	1
GUSB	GUSB	0.35369123727770846	1.4483953526039657e-74	1
